"data","dt_evoluca","sg_uf","n"
"1",2020-04-21,"AP",1
"1",2020-04-21,"BA",7
"1",2020-04-21,"CE",29
"1",2020-04-21,"ES",3
"1",2020-04-21,"GO",1
"1",2020-04-21,"MA",33
"1",2020-04-21,"MG",2
"1",2020-04-21,"MS",1
"1",2020-04-21,"PA",42
"1",2020-04-21,"PB",6
"1",2020-04-21,"PE",52
"1",2020-04-21,"PR",4
"1",2020-04-21,"RJ",118
"1",2020-04-21,"RN",4
"1",2020-04-21,"RO",2
"1",2020-04-21,"RS",1
"1",2020-04-21,"SC",4
"1",2020-04-21,"SP",112
"1",2020-04-22,"AC",2
"1",2020-04-22,"AL",6
"1",2020-04-22,"AM",51
"1",2020-04-22,"AP",2
"1",2020-04-22,"BA",11
"1",2020-04-22,"CE",32
"1",2020-04-22,"DF",2
"1",2020-04-22,"ES",4
"1",2020-04-22,"GO",2
"1",2020-04-22,"MA",32
"1",2020-04-22,"MG",1
"1",2020-04-22,"PA",52
"1",2020-04-22,"PB",4
"1",2020-04-22,"PE",50
"1",2020-04-22,"PR",1
"1",2020-04-22,"RJ",159
"1",2020-04-22,"RN",3
"1",2020-04-22,"RO",1
"1",2020-04-22,"RS",3
"1",2020-04-22,"SC",2
"1",2020-04-22,"SE",1
"1",2020-04-22,"SP",124
"1",2020-04-23,"",1
"1",2020-04-23,"AL",1
"1",2020-04-23,"AM",66
"1",2020-04-23,"AP",1
"1",2020-04-23,"BA",13
"1",2020-04-23,"CE",24
"1",2020-04-23,"ES",6
"1",2020-04-23,"GO",1
"1",2020-04-23,"MA",39
"1",2020-04-23,"MG",5
"1",2020-04-23,"MS",1
"1",2020-04-23,"MT",1
"1",2020-04-23,"PA",58
"1",2020-04-23,"PE",57
"1",2020-04-23,"PR",2
"1",2020-04-23,"RJ",140
"1",2020-04-23,"RN",1
"1",2020-04-23,"RO",2
"1",2020-04-23,"RS",2
"1",2020-04-23,"SC",2
"1",2020-04-23,"SP",152
"1",2020-04-24,"AC",1
"1",2020-04-24,"AL",4
"1",2020-04-24,"AM",41
"1",2020-04-24,"BA",6
"1",2020-04-24,"CE",56
"1",2020-04-24,"ES",5
"1",2020-04-24,"MA",34
"1",2020-04-24,"MG",8
"1",2020-04-24,"MS",1
"1",2020-04-24,"MT",2
"1",2020-04-24,"PA",52
"1",2020-04-24,"PB",5
"1",2020-04-24,"PE",57
"1",2020-04-24,"PI",2
"1",2020-04-24,"PR",5
"1",2020-04-24,"RJ",181
"1",2020-04-24,"RN",3
"1",2020-04-24,"RO",1
"1",2020-04-24,"RS",2
"1",2020-04-24,"SC",1
"1",2020-04-24,"SE",1
"1",2020-04-24,"SP",134
"1",2020-04-25,"AL",7
"1",2020-04-25,"AM",42
"1",2020-04-25,"AP",2
"1",2020-04-25,"BA",8
"1",2020-04-25,"CE",50
"1",2020-04-25,"DF",1
"1",2020-04-25,"ES",13
"1",2020-04-25,"GO",1
