"","DRS","data","n.casos","estimate","lower","upper","week"
"47","Grande São Paulo",2021-01-31,726,769,754,786,"2021-W05"
"48","Grande São Paulo",2021-02-07,596,651,634.975,670,"2021-W06"
"49","Grande São Paulo",2021-02-14,559,631,612,653,"2021-W07"
"50","Grande São Paulo",2021-02-21,545,645,622.975,671,"2021-W08"
"51","Grande São Paulo",2021-02-28,591,739,711,771,"2021-W09"
"52","Grande São Paulo",2021-03-07,775,1085,1040,1134,"2021-W10"
"53","Grande São Paulo",2021-03-14,358,992,910,1080,"2021-W11"
"54","Araçatuba",2020-04-05,1,NA,NA,NA,"2020-W15"
"55","Araçatuba",2020-04-12,1,NA,NA,NA,"2020-W16"
"56","Araçatuba",2020-04-19,1,NA,NA,NA,"2020-W17"
"57","Araçatuba",2020-04-26,2,NA,NA,NA,"2020-W18"
"58","Araçatuba",2020-05-03,3,NA,NA,NA,"2020-W19"
"59","Araçatuba",2020-05-10,5,NA,NA,NA,"2020-W20"
"60","Araçatuba",2020-05-17,5,NA,NA,NA,"2020-W21"
"61","Araçatuba",2020-05-24,3,NA,NA,NA,"2020-W22"
"62","Araçatuba",2020-05-31,2,NA,NA,NA,"2020-W23"
"63","Araçatuba",2020-06-07,7,NA,NA,NA,"2020-W24"
"64","Araçatuba",2020-06-14,7,NA,NA,NA,"2020-W25"
"65","Araçatuba",2020-06-21,14,NA,NA,NA,"2020-W26"
"66","Araçatuba",2020-06-28,16,NA,NA,NA,"2020-W27"
"67","Araçatuba",2020-07-05,30,NA,NA,NA,"2020-W28"
"68","Araçatuba",2020-07-12,32,NA,NA,NA,"2020-W29"
"69","Araçatuba",2020-07-19,32,NA,NA,NA,"2020-W30"
"70","Araçatuba",2020-07-26,33,NA,NA,NA,"2020-W31"
"71","Araçatuba",2020-08-02,29,NA,NA,NA,"2020-W32"
"72","Araçatuba",2020-08-09,29,NA,NA,NA,"2020-W33"
"73","Araçatuba",2020-08-16,23,NA,NA,NA,"2020-W34"
"74","Araçatuba",2020-08-23,17,NA,NA,NA,"2020-W35"
"75","Araçatuba",2020-08-30,23,NA,NA,NA,"2020-W36"
"76","Araçatuba",2020-09-06,22,NA,NA,NA,"2020-W37"
"77","Araçatuba",2020-09-13,16,NA,NA,NA,"2020-W38"
"78","Araçatuba",2020-09-20,18,NA,NA,NA,"2020-W39"
"79","Araçatuba",2020-09-27,16,NA,NA,NA,"2020-W40"
"80","Araçatuba",2020-10-04,30,NA,NA,NA,"2020-W41"
"81","Araçatuba",2020-10-11,29,NA,NA,NA,"2020-W42"
"82","Araçatuba",2020-10-18,22,NA,NA,NA,"2020-W43"
"83","Araçatuba",2020-10-25,26,NA,NA,NA,"2020-W44"
"84","Araçatuba",2020-11-01,16,NA,NA,NA,"2020-W45"
"85","Araçatuba",2020-11-08,16,NA,NA,NA,"2020-W46"
"86","Araçatuba",2020-11-15,25,NA,NA,NA,"2020-W47"
"87","Araçatuba",2020-11-22,13,NA,NA,NA,"2020-W48"
"88","Araçatuba",2020-11-29,12,NA,NA,NA,"2020-W49"
"89","Araçatuba",2020-12-06,14,NA,NA,NA,"2020-W50"
"90","Araçatuba",2020-12-13,15,NA,NA,NA,"2020-W51"
"91","Araçatuba",2020-12-20,27,NA,NA,NA,"2020-W52"
"92","Araçatuba",2020-12-27,29,NA,NA,NA,"2020-W53"
"93","Araçatuba",2021-01-03,33,NA,NA,NA,"2021-W01"
"94","Araçatuba",2021-01-10,49,NA,NA,NA,"2021-W02"
"95","Araçatuba",2021-01-17,48,48,48,48,"2021-W03"
"96","Araçatuba",2021-01-24,31,31,31,32,"2021-W04"
"97","Araçatuba",2021-01-31,43,43,43,44,"2021-W05"
"98","Araçatuba",2021-02-07,35,35,35,37,"2021-W06"
"99","Araçatuba",2021-02-14,31,31,31,33,"2021-W07"
"100","Araçatuba",2021-02-21,25,26,25,28,"2021-W08"
"101","Araçatuba",2021-02-28,40,41,40,45,"2021-W09"
"102","Araçatuba",2021-03-07,46,49,46,54,"2021-W10"
"103","Araçatuba",2021-03-14,41,62,51,75,"2021-W11"
"104","Araraquara",2020-03-29,1,NA,NA,NA,"2020-W14"
"105","Araraquara",2020-04-05,2,NA,NA,NA,"2020-W15"
"106","Araraquara",2020-04-12,2,NA,NA,NA,"2020-W16"
"107","Araraquara",2020-04-19,2,NA,NA,NA,"2020-W17"
"108","Araraquara",2020-04-26,2,NA,NA,NA,"2020-W18"
"109","Araraquara",2020-05-03,2,NA,NA,NA,"2020-W19"
"110","Araraquara",2020-05-10,1,NA,NA,NA,"2020-W20"
"111","Araraquara",2020-05-24,3,NA,NA,NA,"2020-W22"
"112","Araraquara",2020-05-31,4,NA,NA,NA,"2020-W23"
"113","Araraquara",2020-06-07,3,NA,NA,NA,"2020-W24"
"114","Araraquara",2020-06-14,7,NA,NA,NA,"2020-W25"
"115","Araraquara",2020-06-21,7,NA,NA,NA,"2020-W26"
"116","Araraquara",2020-06-28,6,NA,NA,NA,"2020-W27"
"117","Araraquara",2020-07-05,12,NA,NA,NA,"2020-W28"
"118","Araraquara",2020-07-12,13,NA,NA,NA,"2020-W29"
"119","Araraquara",2020-07-19,14,NA,NA,NA,"2020-W30"
"120","Araraquara",2020-07-26,17,NA,NA,NA,"2020-W31"
"121","Araraquara",2020-08-02,17,NA,NA,NA,"2020-W32"
"122","Araraquara",2020-08-09,23,NA,NA,NA,"2020-W33"
"123","Araraquara",2020-08-16,11,NA,NA,NA,"2020-W34"
"124","Araraquara",2020-08-23,22,NA,NA,NA,"2020-W35"
"125","Araraquara",2020-08-30,25,NA,NA,NA,"2020-W36"
"126","Araraquara",2020-09-06,20,NA,NA,NA,"2020-W37"
"127","Araraquara",2020-09-13,27,NA,NA,NA,"2020-W38"
"128","Araraquara",2020-09-20,13,NA,NA,NA,"2020-W39"
"129","Araraquara",2020-09-27,15,NA,NA,NA,"2020-W40"
"130","Araraquara",2020-10-04,21,NA,NA,NA,"2020-W41"
"131","Araraquara",2020-10-11,27,NA,NA,NA,"2020-W42"
"132","Araraquara",2020-10-18,17,NA,NA,NA,"2020-W43"
"133","Araraquara",2020-10-25,9,NA,NA,NA,"2020-W44"
"134","Araraquara",2020-11-01,8,NA,NA,NA,"2020-W45"
"135","Araraquara",2020-11-08,10,NA,NA,NA,"2020-W46"
"136","Araraquara",2020-11-15,12,NA,NA,NA,"2020-W47"
"137","Araraquara",2020-11-22,15,NA,NA,NA,"2020-W48"
"138","Araraquara",2020-11-29,12,NA,NA,NA,"2020-W49"
"139","Araraquara",2020-12-06,10,NA,NA,NA,"2020-W50"
"140","Araraquara",2020-12-13,15,NA,NA,NA,"2020-W51"
"141","Araraquara",2020-12-20,7,NA,NA,NA,"2020-W52"
"142","Araraquara",2020-12-27,14,NA,NA,NA,"2020-W53"
"143","Araraquara",2021-01-03,14,NA,NA,NA,"2021-W01"
"144","Araraquara",2021-01-10,11,NA,NA,NA,"2021-W02"
"145","Araraquara",2021-01-17,25,25,25,26,"2021-W03"
"146","Araraquara",2021-01-24,24,24,24,26,"2021-W04"
"147","Araraquara",2021-01-31,41,41,41,45,"2021-W05"
"148","Araraquara",2021-02-07,52,53,52,57,"2021-W06"
"149","Araraquara",2021-02-14,61,62,61,68,"2021-W07"
"150","Araraquara",2021-02-21,77,82,78,90,"2021-W08"
"151","Araraquara",2021-02-28,68,75,70,83,"2021-W09"
"152","Araraquara",2021-03-07,87,103,94,115,"2021-W10"
"153","Araraquara",2021-03-14,59,114,94,139,"2021-W11"
"154","Baixada Santista",2020-03-22,1,NA,NA,NA,"2020-W13"
"155","Baixada Santista",2020-03-29,12,NA,NA,NA,"2020-W14"
"156","Baixada Santista",2020-04-05,26,NA,NA,NA,"2020-W15"
"157","Baixada Santista",2020-04-12,22,NA,NA,NA,"2020-W16"
"158","Baixada Santista",2020-04-19,34,NA,NA,NA,"2020-W17"
"159","Baixada Santista",2020-04-26,52,NA,NA,NA,"2020-W18"
"160","Baixada Santista",2020-05-03,62,NA,NA,NA,"2020-W19"
"161","Baixada Santista",2020-05-10,84,NA,NA,NA,"2020-W20"
"162","Baixada Santista",2020-05-17,106,NA,NA,NA,"2020-W21"
"163","Baixada Santista",2020-05-24,127,NA,NA,NA,"2020-W22"
"164","Baixada Santista",2020-05-31,160,NA,NA,NA,"2020-W23"
"165","Baixada Santista",2020-06-07,119,NA,NA,NA,"2020-W24"
"166","Baixada Santista",2020-06-14,164,NA,NA,NA,"2020-W25"
"167","Baixada Santista",2020-06-21,152,NA,NA,NA,"2020-W26"
"168","Baixada Santista",2020-06-28,128,NA,NA,NA,"2020-W27"
"169","Baixada Santista",2020-07-05,112,NA,NA,NA,"2020-W28"
"170","Baixada Santista",2020-07-12,92,NA,NA,NA,"2020-W29"
"171","Baixada Santista",2020-07-19,100,NA,NA,NA,"2020-W30"
"172","Baixada Santista",2020-07-26,91,NA,NA,NA,"2020-W31"
"173","Baixada Santista",2020-08-02,67,NA,NA,NA,"2020-W32"
"174","Baixada Santista",2020-08-09,65,NA,NA,NA,"2020-W33"
"175","Baixada Santista",2020-08-16,52,NA,NA,NA,"2020-W34"
"176","Baixada Santista",2020-08-23,66,NA,NA,NA,"2020-W35"
"177","Baixada Santista",2020-08-30,52,NA,NA,NA,"2020-W36"
"178","Baixada Santista",2020-09-06,52,NA,NA,NA,"2020-W37"
"179","Baixada Santista",2020-09-13,45,NA,NA,NA,"2020-W38"
"180","Baixada Santista",2020-09-20,43,NA,NA,NA,"2020-W39"
"181","Baixada Santista",2020-09-27,41,NA,NA,NA,"2020-W40"
"182","Baixada Santista",2020-10-04,34,NA,NA,NA,"2020-W41"
"183","Baixada Santista",2020-10-11,33,NA,NA,NA,"2020-W42"
"184","Baixada Santista",2020-10-18,29,NA,NA,NA,"2020-W43"
"185","Baixada Santista",2020-10-25,32,NA,NA,NA,"2020-W44"
"186","Baixada Santista",2020-11-01,48,NA,NA,NA,"2020-W45"
"187","Baixada Santista",2020-11-08,52,NA,NA,NA,"2020-W46"
"188","Baixada Santista",2020-11-15,60,NA,NA,NA,"2020-W47"
"189","Baixada Santista",2020-11-22,68,NA,NA,NA,"2020-W48"
"190","Baixada Santista",2020-11-29,90,NA,NA,NA,"2020-W49"
"191","Baixada Santista",2020-12-06,92,NA,NA,NA,"2020-W50"
"192","Baixada Santista",2020-12-13,77,NA,NA,NA,"2020-W51"
"193","Baixada Santista",2020-12-20,71,NA,NA,NA,"2020-W52"
"194","Baixada Santista",2020-12-27,85,NA,NA,NA,"2020-W53"
"195","Baixada Santista",2021-01-03,55,NA,NA,NA,"2021-W01"
"196","Baixada Santista",2021-01-10,66,NA,NA,NA,"2021-W02"
"197","Baixada Santista",2021-01-17,56,56,56,57,"2021-W03"
"198","Baixada Santista",2021-01-24,51,51,51,52,"2021-W04"
"199","Baixada Santista",2021-01-31,48,48,48,50,"2021-W05"
"200","Baixada Santista",2021-02-07,38,39,38,42,"2021-W06"
"201","Baixada Santista",2021-02-14,45,47,45,50,"2021-W07"
"202","Baixada Santista",2021-02-21,35,39,36,44,"2021-W08"
"203","Baixada Santista",2021-02-28,49,58,52,66,"2021-W09"
"204","Baixada Santista",2021-03-07,46,67,57,81,"2021-W10"
"205","Baixada Santista",2021-03-14,14,61,43,86,"2021-W11"
"206","Barretos",2020-04-12,1,NA,NA,NA,"2020-W16"
"207","Barretos",2020-04-19,3,NA,NA,NA,"2020-W17"
"208","Barretos",2020-04-26,2,NA,NA,NA,"2020-W18"
"209","Barretos",2020-05-03,3,NA,NA,NA,"2020-W19"
"210","Barretos",2020-05-10,1,NA,NA,NA,"2020-W20"
"211","Barretos",2020-05-17,3,NA,NA,NA,"2020-W21"
"212","Barretos",2020-05-24,5,NA,NA,NA,"2020-W22"
"213","Barretos",2020-05-31,3,NA,NA,NA,"2020-W23"
"214","Barretos",2020-06-07,7,NA,NA,NA,"2020-W24"
"215","Barretos",2020-06-14,11,NA,NA,NA,"2020-W25"
"216","Barretos",2020-06-21,15,NA,NA,NA,"2020-W26"
"217","Barretos",2020-06-28,18,NA,NA,NA,"2020-W27"
"218","Barretos",2020-07-05,11,NA,NA,NA,"2020-W28"
"219","Barretos",2020-07-12,24,NA,NA,NA,"2020-W29"
"220","Barretos",2020-07-19,17,NA,NA,NA,"2020-W30"
"221","Barretos",2020-07-26,23,NA,NA,NA,"2020-W31"
"222","Barretos",2020-08-02,12,NA,NA,NA,"2020-W32"
"223","Barretos",2020-08-09,19,NA,NA,NA,"2020-W33"
"224","Barretos",2020-08-16,22,NA,NA,NA,"2020-W34"
"225","Barretos",2020-08-23,26,NA,NA,NA,"2020-W35"
"226","Barretos",2020-08-30,19,NA,NA,NA,"2020-W36"
"227","Barretos",2020-09-06,19,NA,NA,NA,"2020-W37"
"228","Barretos",2020-09-13,26,NA,NA,NA,"2020-W38"
"229","Barretos",2020-09-20,30,NA,NA,NA,"2020-W39"
"230","Barretos",2020-09-27,20,NA,NA,NA,"2020-W40"
"231","Barretos",2020-10-04,18,NA,NA,NA,"2020-W41"
"232","Barretos",2020-10-11,10,NA,NA,NA,"2020-W42"
"233","Barretos",2020-10-18,13,NA,NA,NA,"2020-W43"
"234","Barretos",2020-10-25,10,NA,NA,NA,"2020-W44"
"235","Barretos",2020-11-01,6,NA,NA,NA,"2020-W45"
"236","Barretos",2020-11-08,6,NA,NA,NA,"2020-W46"
"237","Barretos",2020-11-15,3,NA,NA,NA,"2020-W47"
"238","Barretos",2020-11-22,1,NA,NA,NA,"2020-W48"
"239","Barretos",2020-11-29,4,NA,NA,NA,"2020-W49"
"240","Barretos",2020-12-06,2,NA,NA,NA,"2020-W50"
"241","Barretos",2020-12-13,1,NA,NA,NA,"2020-W51"
"242","Barretos",2020-12-20,4,NA,NA,NA,"2020-W52"
"243","Barretos",2020-12-27,8,NA,NA,NA,"2020-W53"
"244","Barretos",2021-01-03,8,NA,NA,NA,"2021-W01"
"245","Barretos",2021-01-10,10,NA,NA,NA,"2021-W02"
"246","Barretos",2021-01-17,10,10,10,10,"2021-W03"
"247","Barretos",2021-01-24,25,25,25,30,"2021-W04"
"248","Barretos",2021-01-31,21,22,21,27,"2021-W05"
"249","Barretos",2021-02-07,23,25,23,32,"2021-W06"
"250","Barretos",2021-02-14,14,17,14,24,"2021-W07"
"251","Barretos",2021-02-21,12,16,12,22,"2021-W08"
"252","Barretos",2021-02-28,7,11,7,17,"2021-W09"
"253","Barretos",2021-03-07,16,23,18,32,"2021-W10"
"254","Barretos",2021-03-14,13,35,22,60,"2021-W11"
"255","Bauru",2020-03-29,2,NA,NA,NA,"2020-W14"
"256","Bauru",2020-04-05,2,NA,NA,NA,"2020-W15"
"257","Bauru",2020-04-12,12,NA,NA,NA,"2020-W16"
"258","Bauru",2020-04-19,7,NA,NA,NA,"2020-W17"
"259","Bauru",2020-04-26,5,NA,NA,NA,"2020-W18"
"260","Bauru",2020-05-03,4,NA,NA,NA,"2020-W19"
"261","Bauru",2020-05-10,6,NA,NA,NA,"2020-W20"
"262","Bauru",2020-05-17,16,NA,NA,NA,"2020-W21"
"263","Bauru",2020-05-24,15,NA,NA,NA,"2020-W22"
"264","Bauru",2020-05-31,14,NA,NA,NA,"2020-W23"
"265","Bauru",2020-06-07,19,NA,NA,NA,"2020-W24"
"266","Bauru",2020-06-14,17,NA,NA,NA,"2020-W25"
"267","Bauru",2020-06-21,30,NA,NA,NA,"2020-W26"
"268","Bauru",2020-06-28,28,NA,NA,NA,"2020-W27"
"269","Bauru",2020-07-05,18,NA,NA,NA,"2020-W28"
"270","Bauru",2020-07-12,33,NA,NA,NA,"2020-W29"
"271","Bauru",2020-07-19,34,NA,NA,NA,"2020-W30"
"272","Bauru",2020-07-26,42,NA,NA,NA,"2020-W31"
"273","Bauru",2020-08-02,44,NA,NA,NA,"2020-W32"
"274","Bauru",2020-08-09,43,NA,NA,NA,"2020-W33"
"275","Bauru",2020-08-16,40,NA,NA,NA,"2020-W34"
"276","Bauru",2020-08-23,31,NA,NA,NA,"2020-W35"
"277","Bauru",2020-08-30,39,NA,NA,NA,"2020-W36"
"278","Bauru",2020-09-06,42,NA,NA,NA,"2020-W37"
"279","Bauru",2020-09-13,33,NA,NA,NA,"2020-W38"
"280","Bauru",2020-09-20,29,NA,NA,NA,"2020-W39"
"281","Bauru",2020-09-27,34,NA,NA,NA,"2020-W40"
"282","Bauru",2020-10-04,42,NA,NA,NA,"2020-W41"
"283","Bauru",2020-10-11,37,NA,NA,NA,"2020-W42"
"284","Bauru",2020-10-18,33,NA,NA,NA,"2020-W43"
"285","Bauru",2020-10-25,30,NA,NA,NA,"2020-W44"
"286","Bauru",2020-11-01,31,NA,NA,NA,"2020-W45"
"287","Bauru",2020-11-08,13,NA,NA,NA,"2020-W46"
"288","Bauru",2020-11-15,18,NA,NA,NA,"2020-W47"
"289","Bauru",2020-11-22,17,NA,NA,NA,"2020-W48"
"290","Bauru",2020-11-29,15,NA,NA,NA,"2020-W49"
"291","Bauru",2020-12-06,25,NA,NA,NA,"2020-W50"
"292","Bauru",2020-12-13,26,NA,NA,NA,"2020-W51"
"293","Bauru",2020-12-20,23,NA,NA,NA,"2020-W52"
"294","Bauru",2020-12-27,38,NA,NA,NA,"2020-W53"
"295","Bauru",2021-01-03,33,NA,NA,NA,"2021-W01"
"296","Bauru",2021-01-10,64,NA,NA,NA,"2021-W02"
"297","Bauru",2021-01-17,64,64,64,68,"2021-W03"
"298","Bauru",2021-01-24,63,64,63,68,"2021-W04"
"299","Bauru",2021-01-31,94,96,94,101,"2021-W05"
"300","Bauru",2021-02-07,117,121,117,127,"2021-W06"
"301","Bauru",2021-02-14,94,101,96,108,"2021-W07"
"302","Bauru",2021-02-21,89,97,91,105,"2021-W08"
"303","Bauru",2021-02-28,95,108,101,119,"2021-W09"
"304","Bauru",2021-03-07,93,119,108,133,"2021-W10"
"305","Bauru",2021-03-14,76,171,143,207,"2021-W11"
"306","Campinas",2020-03-22,2,NA,NA,NA,"2020-W13"
"307","Campinas",2020-03-29,7,NA,NA,NA,"2020-W14"
"308","Campinas",2020-04-05,20,NA,NA,NA,"2020-W15"
"309","Campinas",2020-04-12,11,NA,NA,NA,"2020-W16"
"310","Campinas",2020-04-19,17,NA,NA,NA,"2020-W17"
"311","Campinas",2020-04-26,24,NA,NA,NA,"2020-W18"
"312","Campinas",2020-05-03,24,NA,NA,NA,"2020-W19"
"313","Campinas",2020-05-10,28,NA,NA,NA,"2020-W20"
"314","Campinas",2020-05-17,46,NA,NA,NA,"2020-W21"
"315","Campinas",2020-05-24,69,NA,NA,NA,"2020-W22"
"316","Campinas",2020-05-31,90,NA,NA,NA,"2020-W23"
"317","Campinas",2020-06-07,131,NA,NA,NA,"2020-W24"
"318","Campinas",2020-06-14,150,NA,NA,NA,"2020-W25"
"319","Campinas",2020-06-21,206,NA,NA,NA,"2020-W26"
"320","Campinas",2020-06-28,193,NA,NA,NA,"2020-W27"
"321","Campinas",2020-07-05,233,NA,NA,NA,"2020-W28"
"322","Campinas",2020-07-12,234,NA,NA,NA,"2020-W29"
"323","Campinas",2020-07-19,235,NA,NA,NA,"2020-W30"
"324","Campinas",2020-07-26,279,NA,NA,NA,"2020-W31"
"325","Campinas",2020-08-02,223,NA,NA,NA,"2020-W32"
"326","Campinas",2020-08-09,204,NA,NA,NA,"2020-W33"
"327","Campinas",2020-08-16,189,NA,NA,NA,"2020-W34"
"328","Campinas",2020-08-23,155,NA,NA,NA,"2020-W35"
"329","Campinas",2020-08-30,156,NA,NA,NA,"2020-W36"
"330","Campinas",2020-09-06,145,NA,NA,NA,"2020-W37"
"331","Campinas",2020-09-13,148,NA,NA,NA,"2020-W38"
"332","Campinas",2020-09-20,128,NA,NA,NA,"2020-W39"
"333","Campinas",2020-09-27,80,NA,NA,NA,"2020-W40"
"334","Campinas",2020-10-04,88,NA,NA,NA,"2020-W41"
"335","Campinas",2020-10-11,62,NA,NA,NA,"2020-W42"
"336","Campinas",2020-10-18,54,NA,NA,NA,"2020-W43"
"337","Campinas",2020-10-25,39,NA,NA,NA,"2020-W44"
"338","Campinas",2020-11-01,38,NA,NA,NA,"2020-W45"
"339","Campinas",2020-11-08,35,NA,NA,NA,"2020-W46"
"340","Campinas",2020-11-15,49,NA,NA,NA,"2020-W47"
"341","Campinas",2020-11-22,45,NA,NA,NA,"2020-W48"
"342","Campinas",2020-11-29,54,NA,NA,NA,"2020-W49"
"343","Campinas",2020-12-06,90,NA,NA,NA,"2020-W50"
"344","Campinas",2020-12-13,70,NA,NA,NA,"2020-W51"
"345","Campinas",2020-12-20,109,NA,NA,NA,"2020-W52"
"346","Campinas",2020-12-27,113,NA,NA,NA,"2020-W53"
"347","Campinas",2021-01-03,139,NA,NA,NA,"2021-W01"
"348","Campinas",2021-01-10,136,NA,NA,NA,"2021-W02"
"349","Campinas",2021-01-17,137,137,137,139,"2021-W03"
"350","Campinas",2021-01-24,141,142,141,145,"2021-W04"
"351","Campinas",2021-01-31,137,141,137,146,"2021-W05"
"352","Campinas",2021-02-07,135,141,136,148,"2021-W06"
"353","Campinas",2021-02-14,161,170,165,178,"2021-W07"
"354","Campinas",2021-02-21,127,138,132,147,"2021-W08"
"355","Campinas",2021-02-28,155,175,165,186,"2021-W09"
"356","Campinas",2021-03-07,209,257,241,275,"2021-W10"
"357","Campinas",2021-03-14,157,359,314,412,"2021-W11"
"358","Franca",2020-04-26,3,NA,NA,NA,"2020-W18"
"359","Franca",2020-05-10,2,NA,NA,NA,"2020-W20"
"360","Franca",2020-05-24,2,NA,NA,NA,"2020-W22"
"361","Franca",2020-05-31,4,NA,NA,NA,"2020-W23"
"362","Franca",2020-06-07,7,NA,NA,NA,"2020-W24"
"363","Franca",2020-06-14,7,NA,NA,NA,"2020-W25"
"364","Franca",2020-06-21,6,NA,NA,NA,"2020-W26"
"365","Franca",2020-06-28,5,NA,NA,NA,"2020-W27"
"366","Franca",2020-07-05,11,NA,NA,NA,"2020-W28"
"367","Franca",2020-07-12,17,NA,NA,NA,"2020-W29"
"368","Franca",2020-07-19,26,NA,NA,NA,"2020-W30"
"369","Franca",2020-07-26,20,NA,NA,NA,"2020-W31"
"370","Franca",2020-08-02,26,NA,NA,NA,"2020-W32"
"371","Franca",2020-08-09,28,NA,NA,NA,"2020-W33"
"372","Franca",2020-08-16,29,NA,NA,NA,"2020-W34"
"373","Franca",2020-08-23,20,NA,NA,NA,"2020-W35"
"374","Franca",2020-08-30,46,NA,NA,NA,"2020-W36"
"375","Franca",2020-09-06,26,NA,NA,NA,"2020-W37"
"376","Franca",2020-09-13,29,NA,NA,NA,"2020-W38"
"377","Franca",2020-09-20,26,NA,NA,NA,"2020-W39"
"378","Franca",2020-09-27,23,NA,NA,NA,"2020-W40"
"379","Franca",2020-10-04,40,NA,NA,NA,"2020-W41"
"380","Franca",2020-10-11,30,NA,NA,NA,"2020-W42"
"381","Franca",2020-10-18,16,NA,NA,NA,"2020-W43"
"382","Franca",2020-10-25,12,NA,NA,NA,"2020-W44"
"383","Franca",2020-11-01,13,NA,NA,NA,"2020-W45"
"384","Franca",2020-11-08,8,NA,NA,NA,"2020-W46"
"385","Franca",2020-11-15,5,NA,NA,NA,"2020-W47"
"386","Franca",2020-11-22,15,NA,NA,NA,"2020-W48"
"387","Franca",2020-11-29,3,NA,NA,NA,"2020-W49"
"388","Franca",2020-12-06,9,NA,NA,NA,"2020-W50"
"389","Franca",2020-12-13,8,NA,NA,NA,"2020-W51"
"390","Franca",2020-12-20,7,NA,NA,NA,"2020-W52"
"391","Franca",2020-12-27,10,NA,NA,NA,"2020-W53"
"392","Franca",2021-01-03,11,NA,NA,NA,"2021-W01"
"393","Franca",2021-01-10,13,NA,NA,NA,"2021-W02"
"394","Franca",2021-01-17,26,26,26,29,"2021-W03"
"395","Franca",2021-01-24,42,43,42,48,"2021-W04"
"396","Franca",2021-01-31,47,48,47,54,"2021-W05"
"397","Franca",2021-02-07,44,46,44,52,"2021-W06"
"398","Franca",2021-02-14,23,25,23,30,"2021-W07"
"399","Franca",2021-02-21,26,29,26,34,"2021-W08"
"400","Franca",2021-02-28,23,28,24,34,"2021-W09"
"401","Franca",2021-03-07,28,36,30,45,"2021-W10"
"402","Franca",2021-03-14,12,28,19,41,"2021-W11"
