"estimate","lower","upper","stratum","onset_date","n.reported"
12,11,15,"C-Oeste",2020-08-04,11
12,11,15,"C-Oeste",2020-08-05,11
17,15,20,"C-Oeste",2020-08-06,15
11,10,15,"C-Oeste",2020-08-07,10
8,7,12,"C-Oeste",2020-08-08,7
5,4,8,"C-Oeste",2020-08-09,4
9,7,12,"C-Oeste",2020-08-10,7
7,5,11,"C-Oeste",2020-08-11,5
6,3,10,"C-Oeste",2020-08-12,3
16,12,22,"C-Oeste",2020-08-13,11
12,7,18,"C-Oeste",2020-08-14,6
10,5,17,"C-Oeste",2020-08-15,3
12,5,23,"C-Oeste",2020-08-16,1
52,36,74,"C-Oeste",2020-08-17,17
86,60,121,"C-Oeste",2020-08-18,21
77,47,120,"C-Oeste",2020-08-19,10
14,14,14,"Norte",2020-06-21,14
16,16,17,"Norte",2020-06-22,16
14,14,15,"Norte",2020-06-23,14
15,15,16,"Norte",2020-06-24,15
16,16,17,"Norte",2020-06-25,16
13,13,14,"Norte",2020-06-26,13
11,11,12,"Norte",2020-06-27,11
12,12,14,"Norte",2020-06-28,12
15,15,17,"Norte",2020-06-29,15
18,18,20,"Norte",2020-06-30,18
25,25,27,"Norte",2020-07-01,25
12,12,14,"Norte",2020-07-02,12
19,19,21,"Norte",2020-07-03,19
7,7,9,"Norte",2020-07-04,7
16,16,18,"Norte",2020-07-05,16
27,26,29,"Norte",2020-07-06,26
27,26,29,"Norte",2020-07-07,26
23,22,25,"Norte",2020-07-08,22
25,24,27,"Norte",2020-07-09,24
14,14,16,"Norte",2020-07-10,14
18,18,21,"Norte",2020-07-11,18
20,20,23,"Norte",2020-07-12,20
15,15,18,"Norte",2020-07-13,15
15,15,18,"Norte",2020-07-14,15
14,14,16,"Norte",2020-07-15,14
15,15,17,"Norte",2020-07-16,15
11,11,13,"Norte",2020-07-17,11
10,10,12,"Norte",2020-07-18,10
11,11,14,"Norte",2020-07-19,11
27,26,30,"Norte",2020-07-20,26
15,14,17,"Norte",2020-07-21,14
15,14,17,"Norte",2020-07-22,14
15,14,17,"Norte",2020-07-23,14
13,12,15,"Norte",2020-07-24,12
17,16,19,"Norte",2020-07-25,16
14,13,16,"Norte",2020-07-26,13
23,22,26,"Norte",2020-07-27,22
12,11,14,"Norte",2020-07-28,11
7,7,10,"Norte",2020-07-29,7
9,9,12,"Norte",2020-07-30,9
11,10,13,"Norte",2020-07-31,10
10,9,12,"Norte",2020-08-01,9
12,11,14,"Norte",2020-08-02,11
14,13,17,"Norte",2020-08-03,13
12,11,15,"Norte",2020-08-04,11
8,7,11,"Norte",2020-08-05,7
15,14,19,"Norte",2020-08-06,14
10,9,14,"Norte",2020-08-07,9
8,7,11,"Norte",2020-08-08,7
5,4,8,"Norte",2020-08-09,4
8,6,11,"Norte",2020-08-10,6
9,7,13,"Norte",2020-08-11,7
5,3,9,"Norte",2020-08-12,3
6,4,11,"Norte",2020-08-13,4
5,2,9,"Norte",2020-08-14,2
4,0,9,"Norte",2020-08-15,NA
8,3,16,"Norte",2020-08-16,1
28,18,43,"Norte",2020-08-17,11
32,18,52,"Norte",2020-08-18,6
46,26,80,"Norte",2020-08-19,9
13,13,13,"Leste",2020-06-21,13
20,20,21,"Leste",2020-06-22,20
14,14,15,"Leste",2020-06-23,14
18,18,19,"Leste",2020-06-24,18
22,22,23,"Leste",2020-06-25,22
8,8,9,"Leste",2020-06-26,8
20,20,22,"Leste",2020-06-27,20
17,17,19,"Leste",2020-06-28,17
17,17,19,"Leste",2020-06-29,17
22,22,24,"Leste",2020-06-30,22
32,32,35,"Leste",2020-07-01,32
27,27,30,"Leste",2020-07-02,27
22,22,25,"Leste",2020-07-03,22
19,19,21,"Leste",2020-07-04,19
12,12,14,"Leste",2020-07-05,12
20,20,22,"Leste",2020-07-06,20
14,14,16,"Leste",2020-07-07,14
16,16,18,"Leste",2020-07-08,16
13,13,15,"Leste",2020-07-09,13
16,16,18,"Leste",2020-07-10,16
5,5,7,"Leste",2020-07-11,5
16,16,18,"Leste",2020-07-12,16
10,10,12,"Leste",2020-07-13,10
11,11,13,"Leste",2020-07-14,11
14,14,16,"Leste",2020-07-15,14
8,8,10,"Leste",2020-07-16,8
15,15,17,"Leste",2020-07-17,15
11,11,13,"Leste",2020-07-18,11
14,14,17,"Leste",2020-07-19,14
19,18,21,"Leste",2020-07-20,18
10,10,13,"Leste",2020-07-21,10
8,8,10,"Leste",2020-07-22,8
5,5,7,"Leste",2020-07-23,5
8,8,10,"Leste",2020-07-24,8
13,13,16,"Leste",2020-07-25,13
9,9,12,"Leste",2020-07-26,9
13,12,15,"Leste",2020-07-27,12
14,13,16,"Leste",2020-07-28,13
15,14,17,"Leste",2020-07-29,14
15,14,17,"Leste",2020-07-30,14
15,14,17,"Leste",2020-07-31,14
6,5,8,"Leste",2020-08-01,5
13,12,15,"Leste",2020-08-02,12
17,16,20,"Leste",2020-08-03,16
5,4,7,"Leste",2020-08-04,4
13,12,16,"Leste",2020-08-05,12
11,10,15,"Leste",2020-08-06,10
16,14,19,"Leste",2020-08-07,14
6,5,9,"Leste",2020-08-08,5
6,5,9,"Leste",2020-08-09,5
6,5,10,"Leste",2020-08-10,5
7,5,10,"Leste",2020-08-11,5
5,3,10,"Leste",2020-08-12,3
11,8,16,"Leste",2020-08-13,7
11,7,17,"Leste",2020-08-14,6
9,4,16,"Leste",2020-08-15,2
14,6,25,"Leste",2020-08-16,1
74,53,99.0249999999996,"Leste",2020-08-17,24
122,89,167,"Leste",2020-08-18,28
109,71,162,"Leste",2020-08-19,14
9,9,9,"Sul",2020-06-21,9
16,16,17,"Sul",2020-06-22,16
10,10,11,"Sul",2020-06-23,10
12,12,13,"Sul",2020-06-24,12
13,13,14,"Sul",2020-06-25,13
21,21,23,"Sul",2020-06-26,21
7,7,8,"Sul",2020-06-27,7
12,12,14,"Sul",2020-06-28,12
13,13,15,"Sul",2020-06-29,13
11,11,13,"Sul",2020-06-30,11
22,22,24,"Sul",2020-07-01,22
16,16,18,"Sul",2020-07-02,16
15,15,17,"Sul",2020-07-03,15
8,8,10,"Sul",2020-07-04,8
11,11,13,"Sul",2020-07-05,11
21,21,23,"Sul",2020-07-06,21
14,14,16,"Sul",2020-07-07,14
10,10,12,"Sul",2020-07-08,10
11,11,13,"Sul",2020-07-09,11
17,17,19,"Sul",2020-07-10,17
8,8,10,"Sul",2020-07-11,8
5,5,7,"Sul",2020-07-12,5
5,5,7,"Sul",2020-07-13,5
11,11,13,"Sul",2020-07-14,11
9,9,11,"Sul",2020-07-15,9
5,5,7,"Sul",2020-07-16,5
11,11,13,"Sul",2020-07-17,11
12,12,14,"Sul",2020-07-18,12
9,9,11,"Sul",2020-07-19,9
12,12,14,"Sul",2020-07-20,12
4,4,6,"Sul",2020-07-21,4
8,8,10,"Sul",2020-07-22,8
11,11,13,"Sul",2020-07-23,11
8,8,10,"Sul",2020-07-24,8
6,6,8,"Sul",2020-07-25,6
10,10,12,"Sul",2020-07-26,10
9,9,11,"Sul",2020-07-27,9
7,7,9,"Sul",2020-07-28,7
8,8,10,"Sul",2020-07-29,8
1,1,3,"Sul",2020-07-30,1
6,6,8,"Sul",2020-07-31,6
16,15,18,"Sul",2020-08-01,15
14,13,16,"Sul",2020-08-02,13
12,11,14,"Sul",2020-08-03,11
2,2,5,"Sul",2020-08-04,2
8,7,10,"Sul",2020-08-05,7
6,5,8,"Sul",2020-08-06,5
12,11,15,"Sul",2020-08-07,11
7,6,10,"Sul",2020-08-08,6
4,3,7,"Sul",2020-08-09,3
8,7,12,"Sul",2020-08-10,7
7,5,10,"Sul",2020-08-11,5
4,2,8,"Sul",2020-08-12,2
11,8,16,"Sul",2020-08-13,8
6,3,11,"Sul",2020-08-14,3
4,0,9,"Sul",2020-08-15,NA
7,2,14,"Sul",2020-08-16,NA
29,20,44,"Sul",2020-08-17,13
25,14,43,"Sul",2020-08-18,6
20,8,42,"Sul",2020-08-19,2
