Date,R. Vergueiro Bicicleta Centro,R. Vergueiro Bicicleta Bairro
3 de abril de 2017,1242,1211
4 de abril de 2017,1092,1096
5 de abril de 2017,408,423
6 de abril de 2017,507,468
7 de abril de 2017,645,624
8 de abril de 2017,926,824
9 de abril de 2017,903,860
10 de abril de 2017,1245,1097
11 de abril de 2017,506,497
12 de abril de 2017,726,667
13 de abril de 2017,554,538
14 de abril de 2017,779,745
15 de abril de 2017,763,672
16 de abril de 2017,644,595
17 de abril de 2017,948,888
18 de abril de 2017,969,916
19 de abril de 2017,990,920
20 de abril de 2017,432,431
21 de abril de 2017,516,485
22 de abril de 2017,671,593
23 de abril de 2017,951,897
24 de abril de 2017,1098,1066
25 de abril de 2017,570,527
26 de abril de 2017,660,632
27 de abril de 2017,1315,1215
28 de abril de 2017,593,601
29 de abril de 2017,758,750
30 de abril de 2017,908,849
1 de maio de 2017,905,944
2 de maio de 2017,1049,980
3 de maio de 2017,1101,1115
4 de maio de 2017,314,359
5 de maio de 2017,653,601
6 de maio de 2017,702,671
7 de maio de 2017,1013,956
8 de maio de 2017,1183,1067
9 de maio de 2017,993,984
10 de maio de 2017,885,897
11 de maio de 2017,905,928
12 de maio de 2017,838,859
13 de maio de 2017,544,491
14 de maio de 2017,1022,973
15 de maio de 2017,1099,1087
16 de maio de 2017,918,887
17 de maio de 2017,637,661
18 de maio de 2017,213,203
19 de maio de 2017,645,604
20 de maio de 2017,163,123
21 de maio de 2017,571,506
22 de maio de 2017,1138,972
23 de maio de 2017,939,882
24 de maio de 2017,1051,1055
25 de maio de 2017,930,904
26 de maio de 2017,728,703
27 de maio de 2017,746,724
28 de maio de 2017,1018,966
29 de maio de 2017,863,801
30 de maio de 2017,1042,986
31 de maio de 2017,942,901
1 de junho de 2017,842,811
2 de junho de 2017,711,702
3 de junho de 2017,887,835
4 de junho de 2017,417,368
5 de junho de 2017,527,495
6 de junho de 2017,831,755
7 de junho de 2017,1072,1024
8 de junho de 2017,692,666
9 de junho de 2017,700,680
10 de junho de 2017,844,835
11 de junho de 2017,721,711
12 de junho de 2017,260,260
13 de junho de 2017,725,678
14 de junho de 2017,621,575
15 de junho de 2017,644,628
16 de junho de 2017,695,706
17 de junho de 2017,545,646
18 de junho de 2017,809,749
19 de junho de 2017,572,541
20 de junho de 2017,730,654
21 de junho de 2017,871,891
22 de junho de 2017,826,812
23 de junho de 2017,718,722
24 de junho de 2017,836,829
25 de junho de 2017,861,799
26 de junho de 2017,997,977
27 de junho de 2017,926,917
28 de junho de 2017,978,908
29 de junho de 2017,900,855
30 de junho de 2017,430,434
1 de julho de 2017,362,360
2 de julho de 2017,613,608
3 de julho de 2017,852,811
4 de julho de 2017,778,731
5 de julho de 2017,742,742
6 de julho de 2017,718,646
7 de julho de 2017,633,629
8 de julho de 2017,887,768
9 de julho de 2017,858,739
10 de julho de 2017,1018,998
11 de julho de 2017,861,850
12 de julho de 2017,877,923
13 de julho de 2017,771,755
14 de julho de 2017,690,696
15 de julho de 2017,831,782
16 de julho de 2017,850,782
17 de julho de 2017,538,519
18 de julho de 2017,525,514
19 de julho de 2017,739,661
20 de julho de 2017,789,759
21 de julho de 2017,699,691
22 de julho de 2017,872,850
23 de julho de 2017,943,903
24 de julho de 2017,970,1008
25 de julho de 2017,959,892
26 de julho de 2017,941,892
27 de julho de 2017,794,760
28 de julho de 2017,781,807
29 de julho de 2017,908,830
30 de julho de 2017,891,859
31 de julho de 2017,1030,981
1 de agosto de 2017,992,886
2 de agosto de 2017,838,805
3 de agosto de 2017,546,506
4 de agosto de 2017,435,421
5 de agosto de 2017,679,741
6 de agosto de 2017,890,834
7 de agosto de 2017,1096,1033
8 de agosto de 2017,1053,1008
9 de agosto de 2017,845,766
10 de agosto de 2017,821,779
11 de agosto de 2017,744,737
12 de agosto de 2017,779,709
13 de agosto de 2017,872,872
14 de agosto de 2017,504,462
15 de agosto de 2017,513,488
16 de agosto de 2017,370,356
17 de agosto de 2017,498,434
18 de agosto de 2017,193,209
19 de agosto de 2017,187,137
20 de agosto de 2017,359,347
21 de agosto de 2017,765,694
22 de agosto de 2017,875,851
23 de agosto de 2017,969,916
24 de agosto de 2017,861,809
25 de agosto de 2017,759,780
26 de agosto de 2017,958,899
27 de agosto de 2017,964,910
28 de agosto de 2017,1172,1005
29 de agosto de 2017,1149,1033
30 de agosto de 2017,785,725
31 de agosto de 2017,848,834
1 de setembro de 2017,757,688
2 de setembro de 2017,1044,977
3 de setembro de 2017,1004,1006
4 de setembro de 2017,1141,1111
5 de setembro de 2017,906,866
6 de setembro de 2017,826,784
7 de setembro de 2017,735,699
8 de setembro de 2017,724,746
9 de setembro de 2017,929,877
10 de setembro de 2017,1013,995
11 de setembro de 2017,1169,1085
12 de setembro de 2017,1080,1060
13 de setembro de 2017,1157,1103
14 de setembro de 2017,981,916
15 de setembro de 2017,847,794
16 de setembro de 2017,925,800
17 de setembro de 2017,951,894
18 de setembro de 2017,1182,1051
19 de setembro de 2017,1105,1102
20 de setembro de 2017,1110,1068
21 de setembro de 2017,1000,958
22 de setembro de 2017,759,798
23 de setembro de 2017,847,817
24 de setembro de 2017,1005,954
25 de setembro de 2017,1129,1057
26 de setembro de 2017,1152,1088
27 de setembro de 2017,902,768
28 de setembro de 2017,663,646
29 de setembro de 2017,365,342
