"Dates","mean","lower","upper"
2020-05-09,24936.2594,24652,25269.025
2020-05-10,26149.1568,25853.975,26494
2020-05-11,27361.2958,27053,27725
2020-05-12,28632.3344,28311,29010
2020-05-13,29890.9054,29556.975,30281.025
2020-05-14,31196.6472,30848,31599
2020-05-15,32423.1338,32061,32841
2020-05-16,33643.35,33267,34079.025
2020-05-17,34897.443,34508.975,35349
2020-05-18,36151.2392,35750.975,36619.025
2020-05-19,37424.9132,37009.975,37912.025
2020-05-20,38598.7636,38171,39099.025
2020-05-21,39800.1646,39363.975,40313.025
2020-05-22,41083.893,40631,41614
2020-05-23,42241.4854,41779,42785.025
2020-05-24,43326.5964,42849,43887
2020-05-25,44598.792,44107.975,45174
2020-05-26,45715.0348,45210,46307
2020-05-27,46881.8482,46366.975,47484.025
2020-05-28,48037.1972,47507.975,48652
2020-05-29,49250.3046,48708.975,49880.025
2020-05-30,50382.918,49827,51025.025
2020-05-31,51445.6564,50879,52102.025
2020-06-01,52621.0652,52043.975,53287.025
2020-06-02,53756.9348,53164,54441.025
2020-06-03,54877.7686,54278,55575.075
2020-06-04,56035.6246,55426,56749.025
2020-06-05,57121.2342,56502,57846
2020-06-06,58287.225,57653,59025.05
2020-06-07,59301.0662,58651,60051.075
2020-06-08,60390.4816,59730.975,61157.05
2020-06-09,61448.388,60784,62230
2020-06-10,62579.514,61905,63371.025
2020-06-11,63662.2174,62973.95,64470
2020-06-12,64787.7832,64090.975,65604.025
2020-06-13,65930.6818,65226.975,66758.025
2020-06-14,66995.2236,66279.975,67833.05
2020-06-15,68099.9446,67371.975,68955.025
2020-06-16,69273.2994,68530,70152
2020-06-17,70450.4644,69698,71336.075
2020-06-18,71539.3582,70772,72437.075
2020-06-19,72658.7258,71882,73568.1
2020-06-20,73762.3214,72975,74687.025
2020-06-21,74882.3562,74085.975,75825.025
2020-06-22,76050.2114,75243.975,77003.025
2020-06-23,77145.615,76324,78117.025
2020-06-24,78308.6048,77467,79290.1
2020-06-25,79446.5016,78601,80447.05
2020-06-26,80534.3174,79670.975,81541.025
2020-06-27,81641.3824,80770.95,82661
2020-06-28,82795.6152,81910.975,83837
2020-06-29,84044.3776,83147,85093.025
2020-06-30,85228.8912,84316.975,86301
2020-07-01,86394.5018,85472,87486
2020-07-02,87668.9584,86732,88770.05
2020-07-03,88820.2602,87873,89932
2020-07-04,90012.4754,89054,91139.05
2020-07-05,91296.5528,90321.9,92437.025
2020-07-06,92533.5648,91542.95,93696
2020-07-07,93823.5322,92824.975,95000.075
2020-07-08,95112.6502,94096,96299.05
2020-07-09,96439.613,95408.975,97633.025
2020-07-10,97718.2328,96667.95,98932
2020-07-11,98966.5098,97898.925,100203
2020-07-12,100431.5968,99352,101702.025
2020-07-13,101870.127,100772,103155.025
2020-07-14,103317.363,102197.975,104627
2020-07-15,104737.7206,103601,106076.025
2020-07-16,106131.9462,104987.95,107483.025
2020-07-17,107579.978,106414.975,108949.025
2020-07-18,108953.2022,107772.9,110333.05
2020-07-19,110465.5452,109267,111864.025
2020-07-20,111898.9306,110681.825,113315
2020-07-21,113493.6262,112254,114950.025
2020-07-22,115083.7988,113824.925,116557.025
2020-07-23,116528.2998,115249.925,118033
2020-07-24,118080.8368,116775,119611.05
2020-07-25,119631.5414,118305.825,121181.025
2020-07-26,121120.6898,119764.975,122700.175
2020-07-27,122689.762,121322.975,124290.025
2020-07-28,124192.849,122806.875,125807.025
2020-07-29,125829.7588,124430.95,127465.025
2020-07-30,127351.2434,125920.975,129026.075
2020-07-31,128620.2008,127160.975,130338.075
2020-08-01,129677.729,128203.975,131421.025
2020-08-02,130406.2522,128930,132163.125
2020-08-03,130906.8686,129415.925,132655.05
