"Dates","mean","lower","upper"
2020-04-25,26617.4292,26175.975,27206.025
2020-04-26,27922.7412,27459.975,28539.075
2020-04-27,29311.9352,28829,29956.025
2020-04-28,30783.914,30276.95,31460
2020-04-29,32006.3142,31479.975,32712
2020-04-30,33607.5758,33058,34344.025
2020-05-01,35950.0274,35370,36737
2020-05-02,37512.0076,36915,38328.075
2020-05-03,38995.0736,38379.95,39847.025
2020-05-04,40710.375,40069.95,41598
2020-05-05,42411.3676,41744.95,43341.025
2020-05-06,43741.3524,43052.975,44698.025
2020-05-07,45223.1518,44507,46211
2020-05-08,46788.8144,46044.975,47807
2020-05-09,48245.9062,47488.9,49298
2020-05-10,50382.3292,49594.975,51481
2020-05-11,51906.5332,51091.95,53033
2020-05-12,53306.856,52478,54466
2020-05-13,54672.8024,53827.975,55862.025
2020-05-14,56051.4488,55186,57266
2020-05-15,57753.8746,56863,59010.05
2020-05-16,59101.7996,58188.95,60385.025
2020-05-17,60446.6838,59511.975,61765.1
2020-05-18,61930.7978,60971.975,63284.05
2020-05-19,63195.1952,62217.975,64590.025
2020-05-20,65102.607,64104,66528.025
2020-05-21,66367.504,65347.975,67823.05
2020-05-22,67648.077,66616.975,69128
2020-05-23,68863.904,67809,70368.025
2020-05-24,70143.6712,69066,71658.025
2020-05-25,71824.4402,70722.975,73382.05
2020-05-26,73069.4346,71956.85,74652.025
2020-05-27,74254.1014,73121,75855.025
2020-05-28,75490.659,74341,77120.05
2020-05-29,76702.7704,75543.95,78361.05
2020-05-30,77843.0742,76656.975,79531.05
2020-05-31,79013.2878,77813,80734.1
2020-06-01,81134.294,79884.975,82892.125
2020-06-02,82540.7826,81276,84341.025
2020-06-03,83853.9222,82560.9,85675.025
2020-06-04,85164.4702,83855.975,87013.025
2020-06-05,86608.1196,85283,88487
2020-06-06,87991.6802,86633.85,89900
2020-06-07,89223.901,87841,91154.1
2020-06-08,90670.4916,89263.975,92630.075
2020-06-09,91895.5934,90469.95,93881.075
2020-06-10,93651.5162,92201.975,95685.025
2020-06-11,94938.095,93468,96995.075
2020-06-12,96390.875,94909,98471.2
2020-06-13,97734.0636,96219.975,99855
2020-06-14,99150.7158,97614.925,101297.025
2020-06-15,100915.537,99367.825,103109.05
2020-06-16,102435.1388,100845.875,104648
2020-06-17,103828.2298,102212.925,106064.075
2020-06-18,105279.0654,103634.975,107538.05
2020-06-19,106838.2528,105181.925,109143
2020-06-20,108631.1532,106924.85,110978
2020-06-21,110008.1594,108281.925,112389.05
2020-06-22,111639.129,109886.925,114039.025
2020-06-23,113103.6534,111312.95,115530.025
2020-06-24,114539.0506,112725.975,116991.075
2020-06-25,116162.3592,114313.9,118654.025
2020-06-26,117892.6128,116007.925,120413.075
2020-06-27,119481.6184,117569.825,122070.05
2020-06-28,120923.6264,118964.975,123537.25
2020-06-29,122464.4492,120456.95,125151.025
2020-06-30,124546.2562,122495.95,127263
2020-07-01,126846.5698,124727.975,129631.125
2020-07-02,128505.4296,126314.725,131355.05
2020-07-03,130214.3608,127954,133139.45
2020-07-04,131594.1696,129301.85,134544.025
2020-07-05,132984.465,130625.95,135997.05
2020-07-06,134627.5894,132175.825,137791.05
2020-07-07,136253.7318,133645.975,139503.1
2020-07-08,137597.4208,134821.9,140970
2020-07-09,138892.67,135938.875,142462.05
2020-07-10,139968.7798,136813,143728.275
2020-07-11,140992.7208,137562.85,145158.05
2020-07-12,142031.91,138227.975,146694.025
