"data";"tot.pass";"est.pagantes";"est.grat";"tot.grat";"semana";"semana.num";"semana.dia1";"ano";"estudantes";"grat.no.est"
2019-04-15;8727972;236774;833541;1384284;"2019-W16";16;2019-04-14;"2019";1070315;550743
2019-04-16;8470639;233006;795557;1324681;"2019-W16";16;2019-04-14;"2019";1028563;529124
2019-04-17;9313873;252345;874458;1494625;"2019-W16";16;2019-04-14;"2019";1126803;620167
2019-04-18;9024724;206739;770001;1437105;"2019-W16";16;2019-04-14;"2019";976740;667104
2019-04-19;3202537;42895;232211;562139;"2019-W16";16;2019-04-14;"2019";275106;329928
2019-04-20;4820865;64952;349983;863000;"2019-W16";16;2019-04-14;"2019";414935;513017
2019-04-21;2887749;36173;206610;561969;"2019-W17";17;2019-04-21;"2019";242783;355359
2019-04-22;8796937;243364;857638;1362134;"2019-W17";17;2019-04-21;"2019";1101002;504496
2019-04-23;9078045;254787;881845;1405640;"2019-W17";17;2019-04-21;"2019";1136632;523795
2019-04-24;9080562;252379;866199;1431407;"2019-W17";17;2019-04-21;"2019";1118578;565208
2019-04-25;8633792;235596;800676;1330393;"2019-W17";17;2019-04-21;"2019";1036272;529717
2019-04-26;5591258;139330;457832;887931;"2019-W17";17;2019-04-21;"2019";597162;430099
2019-04-27;222729;3763;16669;37175;"2019-W17";17;2019-04-21;"2019";20432;20506
2019-04-28;2859596;37947;185404;559323;"2019-W18";18;2019-04-28;"2019";223351;373919
2019-04-29;8837209;222842;750527;1394448;"2019-W18";18;2019-04-28;"2019";973369;643921
2019-04-30;9161728;217243;718363;1492121;"2019-W18";18;2019-04-28;"2019";935606;773758
2019-05-01;3462276;46738;244141;648102;"2019-W18";18;2019-04-28;"2019";290879;403961
2019-05-02;9052702;231271;829729;1444622;"2019-W18";18;2019-04-28;"2019";1061000;614893
2019-05-03;9001240;226921;818128;1445984;"2019-W18";18;2019-04-28;"2019";1045049;627856
2019-05-04;5456171;92270;436311;939562;"2019-W18";18;2019-04-28;"2019";528581;503251
2019-05-05;3025943;44010;234246;595335;"2019-W19";19;2019-05-05;"2019";278256;361089
2019-05-06;8609668;243218;732090;1393070;"2019-W19";19;2019-05-05;"2019";975308;660980
2019-05-07;8388224;237752;773929;1333976;"2019-W19";19;2019-05-05;"2019";1011681;560047
2019-05-08;9483775;267781;904030;1545042;"2019-W19";19;2019-05-05;"2019";1171811;641012
2019-05-09;9358940;266586;907500;1470692;"2019-W19";19;2019-05-05;"2019";1174086;563192
2019-05-10;9209655;246515;866119;1461226;"2019-W19";19;2019-05-05;"2019";1112634;595107
2019-05-11;5645956;100630;451564;953853;"2019-W19";19;2019-05-05;"2019";552194;502289
2019-05-12;2949526;37179;206117;541724;"2019-W20";20;2019-05-12;"2019";243296;335607
2019-05-12;3010702;37930;210568;553859;"2019-W20";20;2019-05-12;"2019";248498;343291
2019-05-13;8682960;252708;875387;1349709;"2019-W20";20;2019-05-12;"2019";1128095;474322
2019-05-13;8960024;259483;906619;1394407;"2019-W20";20;2019-05-12;"2019";1166102;487788
