Date,Pinheiros,Ibirapuera
10 de janeiro de 2017,1383,1243
11 de janeiro de 2017,1237,1205
12 de janeiro de 2017,1325,1208
13 de janeiro de 2017,1282,1202
14 de janeiro de 2017,2314,2103
15 de janeiro de 2017,1193,1094
16 de janeiro de 2017,886,831
17 de janeiro de 2017,632,622
18 de janeiro de 2017,728,694
19 de janeiro de 2017,451,368
20 de janeiro de 2017,373,395
21 de janeiro de 2017,772,732
22 de janeiro de 2017,1214,1096
23 de janeiro de 2017,1503,1433
24 de janeiro de 2017,2233,2093
25 de janeiro de 2017,1182,1074
26 de janeiro de 2017,1147,1094
27 de janeiro de 2017,1241,1157
28 de janeiro de 2017,2794,2717
29 de janeiro de 2017,1349,1263
30 de janeiro de 2017,1440,1397
31 de janeiro de 2017,938,929
1 de fevereiro de 2017,1329,1157
2 de fevereiro de 2017,1217,1134
3 de fevereiro de 2017,917,879
4 de fevereiro de 2017,2643,2508
5 de fevereiro de 2017,1127,1079
6 de fevereiro de 2017,1583,1395
7 de fevereiro de 2017,1705,1547
8 de fevereiro de 2017,1825,1615
9 de fevereiro de 2017,1532,1363
10 de fevereiro de 2017,1199,1099
11 de fevereiro de 2017,2356,2161
12 de fevereiro de 2017,1620,1492
13 de fevereiro de 2017,1838,1637
14 de fevereiro de 2017,1735,1566
15 de fevereiro de 2017,1675,1492
16 de fevereiro de 2017,1446,1311
17 de fevereiro de 2017,893,633
18 de fevereiro de 2017,2369,1755
19 de fevereiro de 2017,1560,1354
20 de fevereiro de 2017,1640,1487
21 de fevereiro de 2017,1311,1268
22 de fevereiro de 2017,1544,1253
23 de fevereiro de 2017,1042,1017
24 de fevereiro de 2017,711,540
25 de fevereiro de 2017,1412,1174
26 de fevereiro de 2017,941,683
27 de fevereiro de 2017,1895,1475
28 de fevereiro de 2017,1153,1003
1 de março de 2017,1406,1301
2 de março de 2017,1141,962
3 de março de 2017,982,722
4 de março de 2017,1972,1576
5 de março de 2017,1095,993
6 de março de 2017,1301,1236
7 de março de 2017,1378,1175
8 de março de 2017,1208,702
9 de março de 2017,1439,1256
10 de março de 2017,1210,1156
11 de março de 2017,2733,2360
12 de março de 2017,1257,1146
13 de março de 2017,1526,1282
14 de março de 2017,1947,1740
15 de março de 2017,1645,1515
16 de março de 2017,1126,1109
17 de março de 2017,611,536
18 de março de 2017,1212,1094
19 de março de 2017,1438,1263
20 de março de 2017,1657,1427
21 de março de 2017,1747,1522
22 de março de 2017,1571,1377
23 de março de 2017,1537,1279
24 de março de 2017,1037,1003
25 de março de 2017,2175,1975
26 de março de 2017,1333,1188
27 de março de 2017,1615,1469
28 de março de 2017,1596,1464
29 de março de 2017,1534,1394
30 de março de 2017,1455,1300
31 de março de 2017,999,927
1 de abril de 2017,1888,1760
2 de abril de 2017,1541,1438
3 de abril de 2017,1715,1559
4 de abril de 2017,1598,1444
5 de abril de 2017,674,590
6 de abril de 2017,909,809
7 de abril de 2017,923,822
8 de abril de 2017,1998,1818
9 de abril de 2017,1457,1310
10 de abril de 2017,1587,1445
11 de abril de 2017,1158,1006
12 de abril de 2017,1090,980
13 de abril de 2017,1132,1034
14 de abril de 2017,1205,1143
15 de abril de 2017,1553,1437
16 de abril de 2017,1085,933
17 de abril de 2017,1381,1258
18 de abril de 2017,1434,1250
19 de abril de 2017,1385,1213
20 de abril de 2017,1075,922
21 de abril de 2017,740,694
22 de abril de 2017,1511,1348
23 de abril de 2017,1412,1292
24 de abril de 2017,1560,1418
25 de abril de 2017,849,839
26 de abril de 2017,1181,954
27 de abril de 2017,1612,1335
28 de abril de 2017,755,689
29 de abril de 2017,1705,1483
30 de abril de 2017,2227,2036
1 de maio de 2017,1417,1230
2 de maio de 2017,1463,1264
3 de maio de 2017,1542,1367
4 de maio de 2017,484,431
5 de maio de 2017,899,866
6 de maio de 2017,1735,1660
7 de maio de 2017,1492,1261
8 de maio de 2017,1696,1432
9 de maio de 2017,1522,1299
10 de maio de 2017,1315,1163
11 de maio de 2017,1450,1218
12 de maio de 2017,1171,1070
13 de maio de 2017,940,802
14 de maio de 2017,1442,1276
15 de maio de 2017,1485,1414
16 de maio de 2017,1359,1215
17 de maio de 2017,1019,920
18 de maio de 2017,362,306
19 de maio de 2017,820,747
20 de maio de 2017,303,278
21 de maio de 2017,884,788
22 de maio de 2017,1555,1330
23 de maio de 2017,1363,1255
24 de maio de 2017,1597,1326
25 de maio de 2017,1426,1273
26 de maio de 2017,939,831
27 de maio de 2017,1683,1562
28 de maio de 2017,1505,1289
29 de maio de 2017,1277,1180
30 de maio de 2017,1514,1365
31 de maio de 2017,1176,1084
1 de junho de 2017,1337,1115
2 de junho de 2017,1050,941
3 de junho de 2017,2346,1983
4 de junho de 2017,596,683
5 de junho de 2017,665,520
6 de junho de 2017,1185,1066
7 de junho de 2017,1444,1345
8 de junho de 2017,1007,897
9 de junho de 2017,979,885
10 de junho de 2017,1860,1742
11 de junho de 2017,1241,1124
12 de junho de 2017,404,382
13 de junho de 2017,1154,1051
14 de junho de 2017,1268,1275
15 de junho de 2017,875,789
16 de junho de 2017,1016,975
17 de junho de 2017,1970,1964
18 de junho de 2017,1263,1171
19 de junho de 2017,960,839
20 de junho de 2017,1111,990
21 de junho de 2017,1319,1159
22 de junho de 2017,1246,1121
23 de junho de 2017,1097,944
24 de junho de 2017,2104,1974
25 de junho de 2017,1386,1257
26 de junho de 2017,1493,1312
27 de junho de 2017,1473,1263
28 de junho de 2017,1482,1278
29 de junho de 2017,1379,1260
30 de junho de 2017,607,556
1 de julho de 2017,765,696
2 de julho de 2017,1083,1001
3 de julho de 2017,1162,1095
4 de julho de 2017,1204,1050
5 de julho de 2017,1233,1040
6 de julho de 2017,1062,947
7 de julho de 2017,979,886
8 de julho de 2017,1929,1833
9 de julho de 2017,1210,1061
10 de julho de 2017,1480,1357
11 de julho de 2017,1351,1208
12 de julho de 2017,1263,1092
13 de julho de 2017,1245,1092
14 de julho de 2017,1047,971
15 de julho de 2017,2002,1822
16 de julho de 2017,1341,1216
17 de julho de 2017,788,702
18 de julho de 2017,838,716
19 de julho de 2017,1104,1001
20 de julho de 2017,1163,1023
21 de julho de 2017,1025,927
22 de julho de 2017,2119,1894
23 de julho de 2017,1341,1217
24 de julho de 2017,1511,1327
25 de julho de 2017,1492,1349
26 de julho de 2017,1354,1184
27 de julho de 2017,1254,1085
28 de julho de 2017,1149,1025
29 de julho de 2017,2278,2115
30 de julho de 2017,1375,1230
31 de julho de 2017,1554,1308
1 de agosto de 2017,1484,1329
2 de agosto de 2017,1248,1061
3 de agosto de 2017,1007,886
4 de agosto de 2017,619,563
5 de agosto de 2017,1901,1799
6 de agosto de 2017,1482,1337
7 de agosto de 2017,1666,1517
8 de agosto de 2017,1728,1480
9 de agosto de 2017,1366,1260
10 de agosto de 2017,1386,1276
11 de agosto de 2017,1076,930
12 de agosto de 2017,1473,1400
13 de agosto de 2017,1519,1402
14 de agosto de 2017,907,828
15 de agosto de 2017,913,777
16 de agosto de 2017,695,588
17 de agosto de 2017,855,741
18 de agosto de 2017,208,196
19 de agosto de 2017,496,512
20 de agosto de 2017,750,661
21 de agosto de 2017,1202,1081
22 de agosto de 2017,1420,1263
