Date,Av. Gastao Vidigal Bicicleta Pinheiros,Av. Gastao Vidigal Bicicleta Marg. Tietê
20 de outubro de 2019,317,259
21 de outubro de 2019,392,371
22 de outubro de 2019,420,395
23 de outubro de 2019,376,340
24 de outubro de 2019,373,337
25 de outubro de 2019,342,335
26 de outubro de 2019,515,531
27 de outubro de 2019,310,269
28 de outubro de 2019,423,377
29 de outubro de 2019,430,375
30 de outubro de 2019,388,374
31 de outubro de 2019,354,305
1 de novembro de 2019,393,328
2 de novembro de 2019,454,456
3 de novembro de 2019,355,326
4 de novembro de 2019,326,276
5 de novembro de 2019,240,214
6 de novembro de 2019,303,296
7 de novembro de 2019,284,246
8 de novembro de 2019,274,254
9 de novembro de 2019,358,358
10 de novembro de 2019,288,255
11 de novembro de 2019,345,335
12 de novembro de 2019,344,329
13 de novembro de 2019,214,193
14 de novembro de 2019,167,130
15 de novembro de 2019,365,373
16 de novembro de 2019,504,478
17 de novembro de 2019,302,302
18 de novembro de 2019,332,340
19 de novembro de 2019,490,429
20 de novembro de 2019,378,360
21 de novembro de 2019,357,322
22 de novembro de 2019,332,283
23 de novembro de 2019,310,267
24 de novembro de 2019,385,322
25 de novembro de 2019,401,369
26 de novembro de 2019,308,266
27 de novembro de 2019,189,133
28 de novembro de 2019,314,281
29 de novembro de 2019,313,229
30 de novembro de 2019,364,327
1 de dezembro de 2019,236,220
2 de dezembro de 2019,356,338
3 de dezembro de 2019,352,343
4 de dezembro de 2019,313,276
5 de dezembro de 2019,313,257
6 de dezembro de 2019,345,286
7 de dezembro de 2019,441,392
8 de dezembro de 2019,333,282
9 de dezembro de 2019,288,242
10 de dezembro de 2019,274,220
11 de dezembro de 2019,310,301
12 de dezembro de 2019,303,279
13 de dezembro de 2019,298,270
14 de dezembro de 2019,440,359
15 de dezembro de 2019,364,350
16 de dezembro de 2019,323,309
17 de dezembro de 2019,211,217
18 de dezembro de 2019,301,269
19 de dezembro de 2019,304,310
20 de dezembro de 2019,275,286
21 de dezembro de 2019,348,356
22 de dezembro de 2019,174,183
23 de dezembro de 2019,251,208
24 de dezembro de 2019,152,124
25 de dezembro de 2019,323,310
26 de dezembro de 2019,300,283
27 de dezembro de 2019,308,297
28 de dezembro de 2019,369,371
29 de dezembro de 2019,262,280
30 de dezembro de 2019,189,178
31 de dezembro de 2019,117,94
1 de janeiro de 2020,165,194
2 de janeiro de 2020,210,217
3 de janeiro de 2020,251,226
4 de janeiro de 2020,356,356
5 de janeiro de 2020,336,320
6 de janeiro de 2020,338,315
7 de janeiro de 2020,290,269
8 de janeiro de 2020,290,285
9 de janeiro de 2020,319,317
10 de janeiro de 2020,311,334
11 de janeiro de 2020,312,309
12 de janeiro de 2020,301,285
13 de janeiro de 2020,362,337
14 de janeiro de 2020,384,377
15 de janeiro de 2020,278,328
16 de janeiro de 2020,269,223
17 de janeiro de 2020,311,293
18 de janeiro de 2020,428,428
19 de janeiro de 2020,331,314
20 de janeiro de 2020,373,349
21 de janeiro de 2020,365,342
22 de janeiro de 2020,231,233
23 de janeiro de 2020,196,191
24 de janeiro de 2020,368,377
25 de janeiro de 2020,530,538
26 de janeiro de 2020,372,370
27 de janeiro de 2020,385,335
28 de janeiro de 2020,348,356
29 de janeiro de 2020,358,305
30 de janeiro de 2020,335,314
31 de janeiro de 2020,226,235
1 de fevereiro de 2020,416,377
2 de fevereiro de 2020,163,140
3 de fevereiro de 2020,239,224
4 de fevereiro de 2020,271,266
5 de fevereiro de 2020,344,286
6 de fevereiro de 2020,322,310
7 de fevereiro de 2020,325,302
8 de fevereiro de 2020,446,413
9 de fevereiro de 2020,9,18
10 de fevereiro de 2020,177,136
11 de fevereiro de 2020,244,211
12 de fevereiro de 2020,332,314
13 de fevereiro de 2020,342,349
14 de fevereiro de 2020,385,351
15 de fevereiro de 2020,471,403
16 de fevereiro de 2020,361,302
17 de fevereiro de 2020,379,338
18 de fevereiro de 2020,360,333
19 de fevereiro de 2020,369,345
20 de fevereiro de 2020,288,231
21 de fevereiro de 2020,229,206
22 de fevereiro de 2020,346,314
23 de fevereiro de 2020,306,298
24 de fevereiro de 2020,384,388
25 de fevereiro de 2020,186,159
26 de fevereiro de 2020,209,191
27 de fevereiro de 2020,269,225
28 de fevereiro de 2020,252,219
29 de fevereiro de 2020,339,282
1 de março de 2020,254,226
2 de março de 2020,267,255
3 de março de 2020,318,297
4 de março de 2020,354,302
5 de março de 2020,344,310
6 de março de 2020,339,328
7 de março de 2020,425,403
8 de março de 2020,314,310
9 de março de 2020,373,330
10 de março de 2020,374,351
11 de março de 2020,385,327
12 de março de 2020,355,338
13 de março de 2020,363,339
14 de março de 2020,503,474
15 de março de 2020,335,301
16 de março de 2020,305,268
17 de março de 2020,360,327
18 de março de 2020,268,231
19 de março de 2020,265,270
20 de março de 2020,212,148
21 de março de 2020,202,204
22 de março de 2020,229,206
23 de março de 2020,232,194
24 de março de 2020,222,176
25 de março de 2020,229,214
26 de março de 2020,248,222
27 de março de 2020,297,234
28 de março de 2020,223,195
29 de março de 2020,228,212
30 de março de 2020,250,223
31 de março de 2020,271,243
1 de abril de 2020,274,232
2 de abril de 2020,225,170
3 de abril de 2020,293,265
4 de abril de 2020,300,281
5 de abril de 2020,237,278
6 de abril de 2020,227,191
7 de abril de 2020,220,208
8 de abril de 2020,312,248
9 de abril de 2020,322,291
10 de abril de 2020,302,277
11 de abril de 2020,265,223
12 de abril de 2020,273,254
13 de abril de 2020,237,216
14 de abril de 2020,278,271
15 de abril de 2020,276,293
16 de abril de 2020,268,215
17 de abril de 2020,315,297
18 de abril de 2020,360,298
19 de abril de 2020,304,291
20 de abril de 2020,418,360
21 de abril de 2020,252,239
22 de abril de 2020,354,305
23 de abril de 2020,308,273
24 de abril de 2020,367,324
25 de abril de 2020,463,408
26 de abril de 2020,330,308
27 de abril de 2020,349,308
28 de abril de 2020,328,310
29 de abril de 2020,298,261
30 de abril de 2020,422,318
1 de maio de 2020,313,268
2 de maio de 2020,404,333
3 de maio de 2020,267,249
4 de maio de 2020,268,281
5 de maio de 2020,219,227
6 de maio de 2020,190,186
7 de maio de 2020,226,190
8 de maio de 2020,315,298
9 de maio de 2020,258,230
10 de maio de 2020,299,273
11 de maio de 2020,324,324
12 de maio de 2020,290,316
13 de maio de 2020,251,219
14 de maio de 2020,278,252
15 de maio de 2020,423,379
16 de maio de 2020,409,342
17 de maio de 2020,258,244
18 de maio de 2020,288,283
19 de maio de 2020,340,281
20 de maio de 2020,361,341
21 de maio de 2020,284,276
22 de maio de 2020,202,172
23 de maio de 2020,268,237
24 de maio de 2020,312,262
25 de maio de 2020,263,257
26 de maio de 2020,286,273
27 de maio de 2020,284,265
28 de maio de 2020,270,256
29 de maio de 2020,420,364
30 de maio de 2020,431,393
31 de maio de 2020,295,250
1 de junho de 2020,198,156
2 de junho de 2020,278,227
3 de junho de 2020,204,203
4 de junho de 2020,241,169
5 de junho de 2020,325,331
6 de junho de 2020,435,372
7 de junho de 2020,272,248
8 de junho de 2020,276,244
9 de junho de 2020,294,290
10 de junho de 2020,390,353
11 de junho de 2020,311,283
12 de junho de 2020,453,398
13 de junho de 2020,234,229
14 de junho de 2020,276,240
15 de junho de 2020,276,272
16 de junho de 2020,358,362
17 de junho de 2020,298,270
18 de junho de 2020,305,280
19 de junho de 2020,438,453
20 de junho de 2020,580,447
21 de junho de 2020,294,288
22 de junho de 2020,371,299
23 de junho de 2020,347,345
24 de junho de 2020,332,296
25 de junho de 2020,181,159
26 de junho de 2020,84,64
27 de junho de 2020,370,278
28 de junho de 2020,261,237
29 de junho de 2020,306,302
30 de junho de 2020,255,239
1 de julho de 2020,305,296
2 de julho de 2020,268,270
3 de julho de 2020,404,380
4 de julho de 2020,506,442
5 de julho de 2020,305,277
6 de julho de 2020,344,321
7 de julho de 2020,334,297
8 de julho de 2020,343,312
9 de julho de 2020,292,262
10 de julho de 2020,458,448
11 de julho de 2020,666,587
12 de julho de 2020,400,371
13 de julho de 2020,310,238
14 de julho de 2020,272,251
15 de julho de 2020,353,332
16 de julho de 2020,337,307
17 de julho de 2020,506,473
18 de julho de 2020,666,567
19 de julho de 2020,341,334
20 de julho de 2020,399,387
21 de julho de 2020,399,394
22 de julho de 2020,417,355
23 de julho de 2020,415,393
24 de julho de 2020,596,565
25 de julho de 2020,648,502
26 de julho de 2020,385,364
27 de julho de 2020,466,424
28 de julho de 2020,276,251
29 de julho de 2020,236,200
30 de julho de 2020,318,249
31 de julho de 2020,469,432
1 de agosto de 2020,781,651
2 de agosto de 2020,368,300
3 de agosto de 2020,404,368
4 de agosto de 2020,400,375
5 de agosto de 2020,378,328
6 de agosto de 2020,368,331
7 de agosto de 2020,508,500
8 de agosto de 2020,522,503
9 de agosto de 2020,313,322
10 de agosto de 2020,395,362
11 de agosto de 2020,360,346
12 de agosto de 2020,369,321
14 de agosto de 2020,,
